text,SCORE,GRADE,name,matched_name,DBA,review_stars,bert_sentiment
Nothing stood out on the menu. Food was okay. Weak margaritas. Very resonably priced.,22,B,Green Iguana Bar & Grill,Green Iguana Bar & Grill,green iguana bar & grill,3.0,POSITIVE
"I love paninis and PaniniRiffic Food truck is no exception. The menu included cutesy sandwich names: the Cuban panini ""Ybanini"", the Roast Beef panini ""Roastini"", the Mozzarella panini ""Paolo"", and the Burger panini ""Cubanito"" as well seasoned fries, plantains and guava bites.

I got the Ybanini and my husband got the Cubanito and the seasoned fries. Everything was terrific! I preferred my Cuban over my husband's burger, but I couldn't stop eating his fries!!! The fries were perfectly crispy and were well spiced with a slight kick. 

Would definitely order the fries again and can't wait to try more of the paninis!",5,A,PaniniRiffic,PaniniRiffic,P@niniRiffic,4.0,POSITIVE
"It was my first time trying Dominican food. I have eaten a lot of Hispanic food Puerto Rican,  Cuban,  excetera . But this was great. The food here is so authentic and absolutely delicious. I'll be back for sure!",37,C,Sabor a Merengue,Sabor a Merengue,S@bor @ Merengue,5.0,POSITIVE
"I ordered the smoked salmon BLT. It comes on marbled rye with arugula, bacon, tomato, and purple onions. Normally, I ask for no onions but I forgot. I'm glad I forgot because it really balances out all the flavors on the sandwich. The bread was soft and fresh, salmon chilled, and the bacon crisp. Overall very good!
We also had the crispy chick peas. They were crisp and spicy. They were like a tastier version of popcorn. I can see this becoming a favorite snack. 
The ambience is trendy and eclectic. I love to sit in the atrium but it is pretty noisy during the height of lunch time. Maybe it's the way the sound carries. Anyway, always a pleasure to eat there.",4,A,Oxford Exchange,Oxford Exchange,oxford exchange,5.0,POSITIVE
Every dish we had was absolutely amazing! The sandwiches were enormous and the Nutella croissant was so good.  I can't wait to go back.,20,B,Williamsburg Cucina Caffe' e Bottega,Williamsburg Cucina Caffe' e Bottega,Williamsburg Cucina Caffe' e Bottega Inc.,5.0,POSITIVE
"One star because I'm a bit of a germaphobe. I went here to get boneless chicken breast, since the meat market by me closed. I hate raw chicken but my husband likes when I make chicken. I try to touch it as little as possible so I ask for it butterflied. Well, the butcher asked me if I had a knife at home, instead of just cutting it. He was pretty rude. I told him raw chicken grosses me out, and he then handed me a bag of chicken with juice all over the top and outside! Shudder. 
I'm quite surprised that I didn't end up with salmonella poisoning just by being there. 
Rude staff and not the cleanest. I won't be going back.",15,B,Interbay Meat Market & Groceries,Interbay Meat Market & Groceries,interbay meat market & groceries,1.0,NEGATIVE
"I normally love this chain but DO NOT GET TAKE OUT - at least not from this location. I swear the portions were literally cut in half. We ordered nachos - the worst nachos I've ever had. The toppings covered 1/5 of the chips. The Mac and cheese, just noodles without cheese.",8,A,Bar Louie - Tampa,Bar Louie - Tampa,B@r Louie - T@mp@,1.0,NEGATIVE
"Bussin Bussin. Food and service was great. Fish was fried perfectly and the Mac and Cheese was Amazing. The lemonade was awesome, definitely some true southern lemonade. I will be back. Wait time for the food was a bit long (30-35 mins). If you plan to go for lunch like I did, order ahead so it will be ready when you get there.",0,A,Our Houz Soul Cafe,Our Houz Soul Cafe,Our Houz Soul Caf3,4.0,POSITIVE
"Titus was great. Very friendly, compared to some bartenders in other parts. Had the fish tacos, very good. Plenty of flavor. Husband had the club. Big sandwich. He really enjoyed it.",32,C,Pool Bar & Grill - Seminole Hard Rock Tampa,Pool Bar & Grill - Seminole Hard Rock Tampa,Pool Bar & Grill - S3minol3 Hard Rock Tampa,4.0,POSITIVE
"Do not call to complain about this place for their bad food or the horrible attitude from the delivery driver person answering phone will not care and tell you ""good we don't want your fu$&@n business anyway!""
I had high hopes for this place",12,A,Lucky's Pizza,Lucky's Pizza,lucky's pizza,1.0,NEGATIVE
"Simply Pho is located on the corner of Dale Mabry and Fletcher in a strip mall that houses a lot of other business so there is plenty of parking. If you're in this area, it's a great place to grab some Vietnamese food. I wouldn't say it is ideal for big groups though. We went with a group of 8 and had no issues being seated, but that's probably all they can accommodate since the rest of the seating is made up of small tables and  booths. 

Other than that, the food was really good. I ordered the beef short rib rice platter which came with 3 pieces of short rib. The short rib was marinated well and really tender and the rice and pickled vegetables that came with it accompanied it well. Soo much good flavor! Although I can not speak on their other dishes, I would definitely recommend this place for your Vietnamese cravings.",35,C,Simply Pho & Grill,Simply Pho & Grill,Simply Pho & Grill,4.0,POSITIVE
"I had to give this new place a second chance. My first order two weeks ago was a disappointment, at best. Fast forward and the result was the same if not worse. The wings seemed to have been refried or old, as they were tough and chewy. I've never had a worse batch of wings. 

You guys have to get this taken care of and use fresh products. There's no way establishments can crank out thousands of wings a day and they're as fresh and tender as expected and these, from a newer establishment and be so bad. Even the curly fries were hard.",2,A,It's Just Wings,It's Just Wings,It'sJustWings,1.0,NEGATIVE
"I had the jerk fish sandwich and it is really good!!! Definitely 5 stars! The sandwich takes longer than most food to come out from what I observed. My biggest problem is that they don't use gloves when preparing food.  I noticed once I ordered. Had I noticed before I probably wouldn't have ordered. I went along with it because my friend and I was sharing the sandwich. I tried a little but couldn't get over the no gloves thing, so I let my friend have the sandwich. She loved it!",14,B,Edison's Swigamajig,Edison's Swigamajig,Edison's Swig@m@jig,3.0,POSITIVE
"Any time I see the Disco Donuts cart I simply can not pass them up. While waiting in line you can watch them fry up your little bite-sized donuts and then shake on your desired topping, mine being cinnamon sugar. Even on a hot day, these warm little donuts definitely hit the spot! They literally melt in your mouth - so dang good!",18,B,Disco Donuts,Disco Donuts,Disco Donuts,4.0,POSITIVE
Delicious!  Love the atmosphere and the owner makes her sauerkraut recipe from her family recipe in Poland. The desserts look amazing too. We can't wait to go back.,23,B,Dolce Enigma,Dolce Enigma,D0lce Enigma,5.0,POSITIVE
"This restaurant is really really good, me and my boyfriend get excited when we go here, the staff is friendly, the food is amazingly good, and no matter what day or time it is, it will always have seats available.",26,B,New York Buffet,New York Buffet,New York Buffet Inc.,5.0,POSITIVE
"Went on a Sunday morning and tried the days special -Menudo (Cow stomach soup).  It was spicy and flavorful, and came with plenty fresh cilantro, chopped onion and jalapeño, as well as a little bit of rice that you can add to your taste.",36,C,Esther's Cafe,Esther's Cafe,Esther's Cafe Inc.,4.0,POSITIVE
"Very disappointing visit to Bar Asia today.  When we arrived it became clear that the place had only one person acting as server and bartender.  But three people in the kitchen and the menu is bowls and sushi, etc so how long could the food possibly take?  Well, it took over an hour and we had to ask for ours to go because we were late to an appointment.  The table behind us was about to leave but right as they were deciding, an appetizer came out so they didn't have to go hungry forever. 
I will note that the bartender/server, Krystal, was great.  She was quick with refills and kept apologizing for the slowness of the food.  Not her fault and I appreciate her service. 
While sitting and waiting, I saw a post on the Bar Asia Facebook page advertising to come have brunch/lunch today.  I commented on the post that they should have another server as we had been waiting for food for nearly an hour.  The restaurant DELETED my post.  So I posted again with a screenshot of the original post.  DELETED again!  I tried to review them on Facebook and they even blocked me from their page.  Seriously?  A simple message to me would have made all the difference in the world.  Explain what happened, apologize, invite me back. 

So I took to my own Facebook page.  Within minutes people were telling of similar experiences and several sent me the link from the Times review last week.  A terrible review, highlighting many of the issues we experienced.  You'd think on the tail of that kind of a review they would be prepared for a South Tampa Sunday lunch.  No. 
Once we were finally able to eat our food, it was just average.  Mine was white rice and vegetables.  Nothing special.  They only gave me a spoonful of sauce so it was very bland.  I was hopeful that the food would at least have made the awful experience a little better.  Also, sushi prices were outrageous.  Almost all of the rolls were $15 and over.  What?!?!  Go to Soho Sushi, Yoko's, Matoi or Kelp before Bar Asia. 
Don't waste your time here.  South Tampa has a million great restaurants with more opening weekly.  You shouldn't have to tolerate bad service and mediocre food.",36,C,Bar Asia,Bar Asia,Bar Asia,1.0,NEGATIVE
"Wanted to give it more cause the people working there are nice/helpful. All the dishes I got were not very good and the hot/sour soup had a strange taste, not like any other place I've had it. ever. Just wasn't very memorable and unlike most Chinese food I've had. meh",0,A,China Latina,China Latina,China Latina,2.0,NEGATIVE
"Love it! The food is amazing, place is clean and customer service is great. It felt like eating right at home. It took about 20 mins to get our food and everything was fresh and SO flavorful. If you're on the fence, definitely give this place a chance!!",32,C,Tito's Latin Kitchen,Tito's Latin Kitchen,Tito's L@tin Kitchen,5.0,POSITIVE
"Located in the lobby of the Reo Center, Lan's Dei is a great place to grab a quick bite for breakfast or lunch. Lan is a wonderful lady who always has a smile on her face.  She features daily specials as well as deli favorites. She knows her customers very well and is always willing to make special orders.",25,B,Lan's Deli,Lan's Deli,Lan's D3li,5.0,POSITIVE
"I like the meat here but the service is terrible rude servers and waitresses every single time I come here I have to wait over 8 to 20 mins until some one comes and ask me my order always come in late so there's not a lot of people, also list couple times steak it's been terrible rough and it's the most expensive cut on the menu talked to the manager about it they took it off my bill, I didn't want that o want a well cooked steak to
Eat it's not about the money I guess they don't care at all.",10,A,Outback Steakhouse,Outback Steakhouse,outback steakhouse,1.0,NEGATIVE
"This is hands down one of the best Thai restaurants in Tampa! Yes, it's a small hole-in-the-wall place, and the inside isn't very decorative, but the main reason to come here is the food. My three favorite dishes here are the Pad Thai, Pad See Ew , and the Tom Yum Seafood noodle soup. If you like sweet favorful dishes , then pad Thai and Pad See Ew are the way to go ! The Tom Yum Noodle Soup has a spicy and Sour broth with a good amount of seafood in it . All three dishes are around $7 and will fill you up for sure. If you prefer a more spicy taste, then ask for their peppers on the side. Caution: these peppers are authentic and will burn .  

Lastly the business is run by a husband and wife . They're both super friendly and will cater to the customer's needs. This is a great place for college students to get a cheap meal and for anyone else that wants good Thai food.",3,A,Thai Bistro,Thai Bistro,thai bistro,5.0,POSITIVE
Not bad for the price. Keep in mind you get what you pay for. If you are particular about your sushi stay away. Sat at the hibachi. Ordered several sushi plates but when they were delivered to our table the food runners had no idea who ordered what so some of our dishes were given to our fellow diners sitting on the other side of the table. So we had to reorder. No one asked if we wanted dessert before we were sent packing. We did but decided to spend our money elsewhere. We probably will not return.,40,C,Koizi Endless Hibachi & Sushi Eatery,Koizi Endless Hibachi & Sushi Eatery,Koizi Endl3ss Hibachi & Sushi Eat3ry,2.0,NEGATIVE
"2.5 Stars

Decent pizza, but certainly not the best in the area.  What they do have going for them is that they deliver for free, if you're within a few miles.

The first time I ordered their pizza, I liked it, although I thought it was odd that the toppings of tomato and spinach were under the top coating of cheese.  The pizza was delivered barely warm that time.

Months go by, and I decide to order from them again.  They have an excellent on-line order form.  The form said that delivery would be in 50 minutes. The form also had a spot to leave a tip, and while I HATE to leave a tip before I get service, I didn't know if there would be another opportunity, so I did.  I completed the check-out, and received a confirmation email saying that the pizza would be there in 60 minutes. 75 minutes go by, and I finally receive my pizza and wings. When I go to sign the form, there is an ""additional tip"" line.  I wonder how many people they scam into leaving a 2nd tip, not realizing the person that ordered it already left one??

Needless to say, both the pizza and the wings I ordered were completely cold. Which is hilarious when you realize that I am 2.2 miles away from the store. Once heated up it was good, although I do feel they are pretty skimpy on the toppings.  

Lesson learned: Next time the craving hits, I'll have to drive myself the half block to Cappy's, and pick up hot pizza.",37,C,Heights Pizza,Heights Pizza,Heights Pizz@,2.0,POSITIVE
"Favorite place in Tampa (and Orlando) to get Boba Milk Tea. Always a clean, welcoming, and fun atmosphere. They even have board games to play if you come with a group of friends, and if you all get hungry, hop on over to the Chipotle next door. Personal favorite is the Taro Milk Tea with Boba.",15,B,Chewy Boba,Chewy Boba,Chewy Bob@,5.0,POSITIVE
"The partner's family is Peruvian and brought me here for my first experience with Peruvian food and not a single dish disappointed. We had the beef heart, ceviche, leche de tigre, and multiple other dishes. Each had a rich flavor, the meet was all extremely tender, and there was a mix of hot and cold dishes. They also have juice, soda, and beer from Peru.

Service was helpful and quick. Was able to order in Spanish and English. The space is clean with lots of seating for a small restaurant. There is a small stage, large speakers, and a projection screen for karaoke nights, soccer games, and live music. Will be back for breakfast soon.",15,B,Kallejon 813,Kallejon 813,Kall3jon 813,5.0,POSITIVE
"I've been here during breakfast and happy hour and both times I've been impressed with the friendliness and attentiveness shown by the employees.  On all occasions they've made great suggestions and explained anything we had questions about in detail.  They will make cocktails to go if that is something you fancy.

My most recent trip was to stop in for a quick breakfast.  I ordered an iced Americano and their breakfast sandwich.  They serve King State coffee and overall my Americano was strong and offered a good kick.  The breakfast sandwiches are premade from what I was told as I didn't want cheese in it, so had to settle to have it in there.  It's a good portion but a bit pricey for what you get.",34,C,Willa’s Provisions,Willa’s Provisions,Willa’s Provisions,4.0,POSITIVE
"The food is too sweet. The coconut soup is way too sweet. Red curry chicken is too sweet and overpriced for how much chicken it is given. Also, the chicken in the red curry is dry and cut too thin. The chicken satay is so so. Service is good. Environment is good.",4,A,Si-Am Thai,Si-Am Thai,Siam Thai ,3.0,POSITIVE
"This is a late review..but the one and only time i went here...I was sorely disappointed. I don't know if they were having an off day or they couldn't manage two large parties at once. We came in late at night and there was only one other large party there. We had probably about 10 people in our party, but let's just say I felt that most of the night we were serving ourselves and they just took the order, brought out the food, and cleaned up (after we left). We constantly had to go find our servers, ask about our food, fill our own water (since there was a pitcher of water nearby), and get the bill so we can leave. We had the korean BBQ and some regular items, but to make things short and simple. The korean BBQ was not worth the price and it didn't taste all that great, and what is up with the electric grill....and when they tell you each portion is meant for one person only, they weren't kidding...The only thing that was actually good out of the many items we ordered was Dol Sot Bi Bim Bap.

I really wanted to like this place...it's the only place in tampa that i've seen that has korean BBQ (table side grill style)..and a large list of those non-typical korean food.. ugh..but I was so disappointed.",35,C,Rice Market and Restaurant,Rice Market and Restaurant,Rice Market and Restaurant Inc.,2.0,NEGATIVE
"Not certain, but to judge by the blank roadside sign and the ""For Lease"" postings in the windows, I think this place has gone the way of the dodo.",10,A,Crazy Cajun,Crazy Cajun,Crazy Cajun,1.0,NEGATIVE
"Great service, hospitality and delicious food!  Can't wait to come back. Had the beef kebob and chicken kebob.",16,B,Khan Murjan,Khan Murjan,Kh@n Murj@n,5.0,POSITIVE
"Have heard good things about this spot so finally got to check it out! This is a fast casual spot where you order at the counter and can either take to-go or dine inside at the tables. We got their chips and salsa to start and couldn't pass on the quesabirria tacos! We were told it would be about a 30+ min wait. Very busy for a Saturday night. We sat down and waited about 10min for our chips and salsa to arrive to our table. Let me just say-SKIP any sides that involve these chips. They were so greasy and overcooked! Not a hint of salt on them either and some were even slightly chewy/undercooked. The salsa was pretty watery and overall bland in my opinion. I would never order that again. Tacos came out during the time they quoted us during ordering. Three tacos came out hot and fully packed of meat, cheese, onions and cilantro! The broth was also full of onions, chickpeas and seasoning. Very tasty! The tacos were very filling and delicious! I will definitely come back just for those!",25,B,El Señor De Los Tacos,El Señor De Los Tacos,El Señ0r De L0s Tac0s,4.0,NEGATIVE
"Really clean, nice decor, very delicious and fresh food. Quick, nice service. The only downside is the smell coming off the sushi bar. I think they should lose the sushi bar altogether because their thai food is great!",39,C,Jasmine Thai and Sushi Restaurant,Jasmine Thai and Sushi Restaurant,Jasmin3 Thai and Sushi R3staurant,4.0,POSITIVE
Love this place. I get lunch here 2-3 times a week. Sometimes I eat in and sometimes I take it home. Every time the food is healthy and DELICIOUS. I have taken prepped meals home and also picked items from their cold case. I love the spaghetti squash lasagna. And the beet burger. So good. Everything is made fresh and so good. Today I ate in and had a grilled cheese with tomato and onion and arugula. So tasty. And then I couldn't resist a lemon sandwich cookie that was made with almond flour and no added sugar. So tasty!,8,A,Intelligent Gourmet,Intelligent Gourmet,Intelligent G0urmet,5.0,POSITIVE
"Great views of the Water Street and Harbor Island areas from the 6th floor of the JW Marriott where this place is located.  I didn't sample any food on my visit as we just went for drinks recently.  It was a weeknight so it wasn't crowded and the outdoor seating areas were first come first serve.  It is attached to both the hotel's pools so it will get crowded when people are out enjoying the amenities of the hotel.  

Drinks can be ordered at the walk up window.  There was no table side service at the outdoor areas when we were there.  The cocktail menu was a bit sparse and pricey, but they do have a good selection of liquor and a full bar to make anything you'd want.  The bartender was quick and very pleasant.  Overall, good to grab a drink, but not sure if I'd choose it over any of the various other bars in the area.",34,C,Six,Six,Six,3.0,POSITIVE
"Sabor Paisa means flavor Paisa, the flavor of the Colombian state of Paisa. The different states of Colombia have different cuisines. The Paisa region is known for the city of Medellin and coffee growing, Juan Valdez is a prototypical Paisa. 

The menu here also uncludes some Peruvian dishes, lomo saltado and arroz chaufa (Peruvian fried rice) for example, as well as dishes from other regions of Colombia.

Probably because of the drug wars and civil war centered around Medellin, many Colombians left home and there are several Paisa bakeries and restaurants in Tampa especially on and around  Armenia Ave.

The hot chocolate is good here and everything I've tried is tasty. It's not a ritzy area and it's not a ritzy place. But it's fun to try.

The people next to me had a casuela de mariscos, a kind of creamy seafood stew, so I got it too. I was impressed. 

Bandeja paisa, a platter with rice, beans, egg, thin steak, spicy sausage (chorizo), corn discs (arepa) and fried pork belly (chicharron) is a Paisa specialty. I like it with avocado but it doesn't seem to come that way often. It's a hearty meal!

Kick back, try a Colombiana cream soda type soda or an apple soda (soda de manzana) or an Aguilar beer or aguardiente (firewater) and enjoy. Now work on your salsa dancing, Zumba, listen to some Shakira, and read some Gabriel Garcia Marquez. Excelente!!!",9,A,Sabor Paisa Restaurant,Sabor Paisa Restaurant,sabor paisa restaurant,4.0,POSITIVE
"I want to like this place a lot more, I really do. I mean anywhere that offers completely vegan takeout should be five stars in my book. So what's the problem?

First, I'll start with what's not the problem. This small hole-in-the-wall store is completely filled with vegan items. Some of these are items I've seen at Whole Foods, Nutrition S'Mart, Chuck's, Trader Joe' s or Abby's, and some of them I've  never seen before (different brands of salmon patties, tuna and fried chicken just to name a few). Items for sale include canned goods, frozen foods, condiments, snacks, baking items, spices, homemade baked goods and fresh smoothies. All of these seemed to be priced pretty close to your local health food stores like Chuck's, Abby's or Nutrition S'Mart.

Our original reason for visiting was to order some take out. The menu was hard to find (it was behind you when you walk in, not on a big sign over by where you order). Once I found the menu, I asked for a tofu wrap. The wrap was full of fresh veggies and nicely textured tofu. The tofu was some of the best I've had recently. I loved that the sandwich could be topped with any number of vegan condiments including chipotle mayo. I opted for plain old mustard since my daughter was sharing it with me. Speaking of my daughter, that child started crying from hunger while we waited for our sandwich to be made. What did the employees do? They offered her a homemade carob cookie absolutely free. The crying immediately stopped (hmmm...maybe I should teach her to cry on command so we can get more free stuff) and a huge smile spread across her face.

The owner of the shop was very knowledgeable. She took me on a tour of the store, talked to me about the products, shared which ones were vegan and not (they have like three or four things in the store that have eggs in them) and gave me recommendations based on customer feedback and popularity. Not sure if you like something? Instead of buying an entire box, Natural Detox/Vegan Take Out will sell them in smaller increments. Buy only two vegan chicken patties or nuggets instead of an entire box. That's something I've never seen before.

So why only three stars? Well, the reason I needed a tour of the store is because nothing is labelled. You'd find the same products at two different places in the shop. The refrigerators aren't clear, so you have to open them to see inside. Then you stand there looking around and rearranging things. All the while energy is being wasted unnecessarily.

The owner did apologize a lot and kept saying she was in the process of defrosting refrigerators. I'll give them a few weeks and then stop back in. With a few simple tweaks, like better organization and labels on the outside of the refrigerators telling you what's inside, this store would easily be a four or even five star one.",19,B,Natural Detox Nutrition Shoppe,Natural Detox Nutrition Shoppe,Natural D3tox Nutrition Shopp3,3.0,NEGATIVE
"I always have a great time here, nice beer selection and entertainment (live music and games). Their calzones are surprisingly fantastic! See you soon, Yard of Ale!",33,C,Yard of Ale Soho,Yard of Ale Soho,Yard of Ale Soho Inc.,4.0,POSITIVE
"I absolutely love their food.... when they get the food orders done correctly. 

Almost every time my office orders lunch here they get the order wrong even when it is repeated it back to us. They frequently overcharge our lunch specials as full orders.

The waitstaff always appears confused. The customer service is handled poorly. They don't read their ticket orders properly.

And I have my order placed in Spanish to avoid any language barriers.

EDIT:
A gentleman working there brought and delivered food and fixed the order. Changed it to 3 stars.",13,A,Pisco Restaurant and Bar,Pisco Restaurant and Bar,Pisc0 Restaurant and Bar,3.0,NEGATIVE
"Charming chefs, big portions, and quality food. I love these cheesy cook-in-front-of-you Japanese steak houses and this is easily the best I've ever been to. One of my favorite restaurants in Tampa, and one of the few I actually miss.

And yeah, it's in a strip mall, but most places in Tampa are.",0,A,Arigato Japanese Steak House,Arigato Japanese Steak House,Arigato Japanese Steak House Inc.,5.0,POSITIVE
"Very nice little replacement spot for (for the departed Starbuck's) in West Park Village in Westchase. Great for parking and running in, or walking to through Westchase neighborhoods. Espresso is somewhat average and so is the food but it's just good enough to make this a great addition to the Westchase slate of coffee shops, bakeries, restaurants and bars. The staff is very good, hard working and attentive, one of the Tiger's best features, they have good indoor and outdoor seating and it doesn't feel anywhere near as crowded nor corporate / sterile as the vacated Starbuck's. Love the walkup, neighborhood vibe and the corner coffee shop inconsistency. For a smaller storefront, BT's got a really wide array of choices... coffee/espresso obviously, but also ice cream, breakfast sandwiches and desserts. Really nice selection.",3,A,The Blind Tiger Cafe - Westchase,The Blind Tiger Cafe - Westchase,The Blind Tiger C@fe - Westch@se,4.0,POSITIVE
Can't believe this place is closed! It was sooooooooooo good! Anyone know if the owners opened another restaurant elsewhere?,10,A,Crazy Cajun,Crazy Cajun,Crazy Cajun,5.0,POSITIVE
"It was my first time in a Korean BBQ and I can say it was a great experience. Food was excellent quality and servers were always attentive and helpful, I will definitely come back.",40,C,Boil Spot,Boil Spot,BoilSpot,5.0,POSITIVE
Small place good for small groups. Food was good. They have mostly sandwiches. Bands play during weekend and they have a beer menu. Great for beer lovers. The wine not great at all. They only serve wine and beer so need to be aware of that.,2,A,Wicked Wiches & Brew,Wicked Wiches & Brew,Wicked Wiches & Brew Inc.,2.0,POSITIVE
I just moved into Tampa from Scottsdale Arizona and found this place randomly. The chicken pita is delicious and fresh. The employees are very pleasant and inviting. I've been to so many pita places and this place was worth writing a review about. I will continue to go there in the near future.,3,A,Pita's Republic,Pita's Republic,Pita's R3public,5.0,POSITIVE
"I concur with the consensus on this chinese buffet:   very wide selection, acceptable quality on most items, incredibly cheap and predictible atmosphere----best bang for the buck in town.   Best not to observe other dinner  customers who may load their plates with crablegs, scatter the spent shells on the tabletop (and floor) and then go back for more....undiluted by any vegetables, soup or dietary balance.  Gluttony is ugly observed in others.",40,C,Super Asian Buffet,Super Asian Buffet,Sup3r Asian Buff3t,3.0,NEGATIVE
"What a great new find!  When we entered on a Saturday night and didn't find the place to be busy, we were a little nervous.  I'm so glad we stayed!!  The menu has fantastic variety without appearing to try too hard or be overwhelming.  The staff was very friendly and gracious.

Tampa is such a focal point for new restaurants.  Don't let the big chains or celebrity owners distract you from an amazing local gem!",8,A,Global A'fare,Global A'fare,global a'fare,5.0,POSITIVE
