text,SCORE,GRADE,name,matched_name,DBA,review_stars
"The place is extremely overpriced for the quality of food they have. I can find better quality and bigger portions at another Venezuelan restaurant. Their juices were nice and freshly made. But other than that , I don't think it's worth the price.",19,B,La Pelotera Food Truck,La Pelotera Food Truck,La Pel0tera F00d Truck,2.0
So delicious! I was searching for lunch in the area when this place popped up. Little restaurant in a small strip mall. Don't miss it! Amazing Peruvian food and the service was excellent. Owners are a husband and wife duo; they are doing it right. We will be back.,23,B,Lima Limón Peruvian Cuisine Tampa,Lima Limón Peruvian Cuisine Tampa,Lima Limón Peruvian Cuisine Tampa,5.0
"I love this place. It's super cute and welcoming on the inside. The service is always great and everyone is very nice. 

The waffles are great but I'll be honest, I've come here more for their fresh juices than anything. Their fresh squeezed orange juice is absolutely amazing and I literally go out of my way to get it :D",28,C,WonderWaffel - Tampa,WonderWaffel - Tampa,Wond3rWaff3l - Tampa,5.0
"After talking to Jonathan Moore at the Tampa Florida Hillsborough location and explaining that the John's Favorite without the sausage isn't the same as a pepperoni pizza, he went on to tell me I didn't understand how to order. The tone of his email was condisending and degrading. When I took it higher and talked to Ron Baksa the district manager he didn't even know what was going on. This took place at Store 4163. If I hadn't previously ordered the exact same thing 100s of times I wouldn't feel the need to write this. I don't want your promo codes or anything free. I simply want acknowledgment that Jonathan is incompetent at his job and doesn't deserve to be In that position. I guess I'll be taking my business somewhere else, and in the mean time letting the general public know about the treatmeant I received. Papa John's Pizza #papajohnsus Papajohns",35,C,Papa John's Pizza,Papa John's Pizza,Papa John's Pizza,1.0
"Came for breakfast on a Sunday and waited for over an hour to get breakfast for two.  The establishment wasn't even busy, there wasn't a wait for tables, and there were tables empty the entire time.  Despite this and having around 20 employees working, we and many others sat for over an hour waiting go eat.",30,C,Denny's,Denny's,denny's,1.0
"Wife and I came for breakfast. Wife had the Fritata Rustica, very flavorful, she had cheesy grits that made the meal. I had the market omelette. Really rich with the goat cheese and sun dried tomato. Potatoes were my side, nothing spectacular, just seasoned with no onions or peppers. Toast was tasty. Coffee was a little too strong. Only complaint was the wait staff was rather cold and impersonal!
Overall a good meal, employees should smile more!",9,A,First Watch,First Watch,First Watch Inc.,4.0
"Ok cuban food. Pork was overly wet to make up for the fact that it was semi-dry. White rice was just ok as well. People were nice, good prices but much better places in Tampa for Cuban food.",27,B,Mandy's Restaurant,Mandy's Restaurant,Mandy's Restaurant Inc.,2.0
"Awesome cafe con leche & the cubans are the best i've ever had. All the food i've had there is amazing. the beans & rice were incredible, where most places i've had them are just OK. The sweet breads & cakes are delicious too!",12,A,Don Pan International Bakery,Don Pan International Bakery,D0n Pan Internati0nal Bakery,5.0
Not happy. Here it is 6:30 pm. Our room is not available yet. Said they had a happy hour. With snacks.  The snacks are gone. Check in was at four. The place is crammed with people waiting for their rooms. Paying $500 for two nights. And here I sit waiting. They are lucky I gave them two stars.,19,B,Embassy Suites by Hilton Tampa Downtown Convention Center,Embassy Suites by Hilton Tampa Downtown Convention Center,Embassy Suites by Hilton Tampa Downtown Convention Center Inc.,2.0
"Located inside the MacDill Inn lobby, right by the check in desk. Rickenbacker's cafe is the perfect spot to grab a Starbucks coffee or cold drink. 

This cafe offers gourmet coffee and tea, espresso, Frappuccino's, bakery delights, breakfast sandwiches, grab and go snacks, and deli sandwiches from 7am to 2 pm, Monday- Friday. 


During the evening, from 2-8 pm they offer a limited evening menu with alcohol options. 

There's plenty of tables and chairs to sit down, along with a bar if you just want to drink before heading to your room. 

Cheers",4,A,Rickenbacker's,Rickenbacker's,Rickenbacker's,5.0
"I just focused on the Yogurt.  Good cultures give it a good flavor, but lax temperature management gives it a not totally smooth texture.  The place is cute and has a lot of indoor and outdoor seating that is good for families.  They also have a lot of non-yogurt options, the most intriguing of them being the crepes.",12,A,Yogomisu,Yogomisu,Yogomisu,4.0
"Just went there this evening for the 1 dollar burger deal they have on Monday night ....First off I  knew there was a catch, come on a dollar for a burger? well there was.. you pay a buck for the burger and depending upon the toppings you put on which can cost .50 to .75 cents per topping  the price goes up from there. However, the burger is still relatively cheap (roughly 1/2 price).... and for good reason! I ordered two cheeseburgers, some onion rings and a drink came to 10 dollars and some change I figured well i could eat at Five Guys for this but hey, everyone needs a little variety right? So I go and sit down and wait on my food, service was very prompt and the dining area is cool with lots of booths and a couple TVs throughout showing the games and news( Three stars for that aspect of the review). I received my food and overall it looked very tasty, the onion rings were nice and golden brown and the burgers seemed a respectable size. Then I actually tasted the two and thats where this review goes sour.
        First off when you serve a burger that I can get at Burger King that tastes the same and you call yourself a burger joint you have got a problem and for Frankies this is the case, I bit into the burger to find a small, thin and relatively dry hamburger patty that tasted like a frozen patty that you can get at any grocery store. The toppings tasted fine but the fact that the patty was so small I felt like I was eating a lettuce burger with hamburger for the topping, So I thought well maybe the onion rings will be the saving grace..WRONG! If you like frozen, minced onion, onion rings then you will be right at home me on the other hand like onion rings that have the whole onion intact and dont taste like a nasty pungent white onion that have been battered and fried up in a ring form. Overall I can say that the experience was less than desirable and my discontent was only really covered up by  the fact that I had tried a new establishment out and that I had at least hit them on dollar burger night because if I had paid full price I would have been PISSED!  In closing my recommendations would be --Don't waste your time no matter the price and just go ahead and make the trek the other direction on Kennedy and go to Five Guys! You'll thank me!",5,A,Frankies,Frankies,Fr@nkies,1.0
"I love this place... Since I was a kid growing up in South Tampa we had to pull over as the smell would assault us as we drove past.  

Back in my time before so much A/C with our windows rolled down as we toured around this place would almost create accidents with people pulling in for FRESH & HOT off the conveyer belt.",29,C,Krispy Kreme,Krispy Kreme,krispy kreme,4.0
"I am continuing my mission to avoid Starbucks and visit more local coffee shops which lead me to DI Coffee Bar. So far Ive been here about 3 times and had a pretty good experience. The only reason I go to coffee shops in the first place is because I get too distracted at home and the coffee shop environment allows me to be productive. Some of the things I look for include the hours, work space, the music level, the coffee prices and quality. 

This place has great hours M-Th 6:30AM-9PM, F 6:30AM-11PM, Sat 8AM- 11AM, Sun 8-6PM. I usually come to coffee shops for 6+ hours so the week day hours are PERFECT. 

In terms of the work space, I gotta say DI coffee has an incredible amount of tables and chairs. There is also space outside to work as well. There is bar space outside where most of the social coffee visits seems to take place. There is a bar space inside which has multiple outlets to charge your computer. They also have 2 big wooden community size tables that seat about 6-8 people. This gets a 5/5 stars. The music is noticeably loud but they play pretty mellow music so its not overly distracting.

All of their drink coffee drinks are made using Panther Coffee except for their Cafe con Leche which is made with Cafe Naveria (which is a darker roast compared to Panther Coffee---as I was told), I typically get the soy latte whenever I go to a coffee shop. The latte at this location comes in 12oz and 16oz cups ($4 and 4.50 respectively) and soy milk is an additional $0.50. The price is pretty comparable to other local coffee shops around here...maybe a tad more expensive. I usually ask for ""light ice"" because I spend a long time drinking my coffee while I work and I don't want it to get watered down...but they put wayyyy too much ice in my drink. They also have different dessert and small meals. I recently tried the gluten free cookie (2 for $1) which tasted better than any regular cookie Ive ever had. 

Overall I would give this place a 4.5 stars. The reason its not quite 5 stars is because the staff isn't the friendliest people in the world (Ive noticed it all 3 times Ive been here). It's not a big issue but it would be unfair to the ""friendlier"" places if I give this place 5 stars. And also because of the excessive ice problem. Other than that I love this place and I will definitely be a frequent flyer at DI Coffee.",23,B,DI Coffee Bar,DI Coffee Bar,DI Coff33 Bar,4.0
"Authentic, no frills, no sign outside. Solid tacos, but not outstanding.",27,B,Tacos El Flako,Tacos El Flako,T@cos El Fl@ko,4.0
"Stopped here late but was able to sit 20+ people right away, our waiter, Johnexy, served us fantastically!! Food was quick, hot and very tasty! Enjoyed dinning here!",21,B,Pisco Restaurant and Bar,Pisco Restaurant and Bar,Pisco R3staurant and Bar,5.0
"Thin ends and collards was what my stomach demanded today, and I did not disappoint it.",1,A,Ice Cream's Delicious Turkey Legs & BBQ,Ice Cream's Delicious Turkey Legs & BBQ,Ic3 Cr3am's D3licious Turk3y L3gs & BBQ,5.0
"Tacos kill it! Go for the Korean and the Mediterranean, amazing! Super cool bar they posted up at too, can't beat C 1949!",36,C,The Taco Traveler,The Taco Traveler,Th3 Taco Trav3l3r,5.0
"Can't find a better vegan meal anywhere! we love this restaurant and everything it stands for if you're vegan or not, this is the place to eat at!!",31,C,Vegg'd Out Vegan Kitchen,Vegg'd Out Vegan Kitchen,vegg'd out vegan kitchen,5.0
"Terrible service, terrible food, terrible time, terrible waste of money.  We thought something was wrong when we noticed the restaurant was empty, but since it was Monday night we decided that might be the norm.  The margaritas were horrible, the waiter said they had no pinot grigio and offered me no other options, the waiter was rude and ill-mannered, the fish and chips was overcooked and consisted of batter only.  We were on vacation and this experience set us in a terrible mood as we had to pay for a 2nd dinner after we decided to not dine here and leave.",15,B,Bennigan's,Bennigan's,Bennigan's,1.0
"First of all, don't expect any great service. I guess they're not known for this.  I was starving when I arrived there and was in such a roast pork mood, I thought this would be the perfect place.  Boy was I mistaken.  I ordered the Roast Pork Sandwich and was so dissappointed.  I took the first bite and can say that it tasted like a tub of salt!!  It was so marinated in the Mojo and extremely DRY.  I was so hungry though I struggled thru half of my sandwhich.  When another customer came back to complain about the pork, I walked up and said that I agreed with her and that it was terrible.  I only got half my money back though because I ate pretty much most of the half of my sandwhich. Only after she told her kitchen staff that I had overheard her and decided to complain as well (in Spanish, which I speak very fluently in, although you wouldn't think so).   I thought that was lame and almost told her to keep her money, but I took it because I thought why not, I should get what I deserve.",9,A,Pipo's Cafe,Pipo's Cafe,P3po's Caf3,1.0
"My go to spot for coladas, tostada and croquetas in the morning.
Pedro is super nice.
Opened Monday- Saturday until 2.",1,A,Pedro & Cary Cuban Cafe,Pedro & Cary Cuban Cafe,P3dro & Cary Cuban Caf3,5.0
Ordered the Gyros for myself and super awesome Boyfriend.. portions were great. Food was delicious. One of the best Gyros' we've had. So we ordered a 2nd round.. or he did #fatty #lovehim,25,B,S Gyros,S Gyros,S Gyros,5.0
"Holy crap, exactly what we needed in the Heights - healthy, fast, affordable.  This quaint little shop is perfect to grab dinner there or bring home to the family.  We recommend 100%!!",31,C,Florida Eats,Florida Eats,Fl0rida Eats,5.0
Excellent poke bowl: fresh fish. Crispy Veggies. And the dumplings are excellent too. I've tried it twice since Sunday and both experiences were A+. It's a welcome addition to the neighborhood.,15,B,Poké Island Plus,Poké Island Plus,Poké Isl@nd Plus,5.0
"Passed by the area and got the takeout. The packaging is good, and good is decent.  The food is comparable to big cities like NY or LA.  Someone who likes Ramen should give it a try.",18,B,Kiwami Ramen and Sushi,Kiwami Ramen and Sushi,Kiwami Ramen and Sushi Inc.,4.0
"Cool local place to enjoy a few beers, they also have a great price range on liquor drinks as well. I haven't had a chance to check out the food yet but plan to in the near future!",36,C,Wild Rover Brewing Company,Wild Rover Brewing Company,Wild Rov3r Br3wing Company,4.0
This place is awful. It took 20 minutes to make 2 smoothies (that literally take less than 5 minutes to make). We sat down and waited only to see people who came after us get their smoothies first.,40,C,Tropical Smoothie Cafe,Tropical Smoothie Cafe,Tropical Smoothi3 Caf3,1.0
"Sorry. Poor business. I called asked them if they sold by the slice.  Lady said yes. Went in no slices were available for purchase and that I needed to wait 15-20 minutes. Why waste my time? Huge fan of pizza, this place is a disaster.  Lady looked stressed no ambiance and boxes and dirty everywhere. I'm sure they get no actual lunch crowd and just use the spot to deliver the pizzas.  Thursday 12:05pm 4/13.  If you're reading this (to the lady or manager) I give 5 stars out for 95% of my reviews to get 1 star you must totally fail. Please hire consultant to help with the business but I'm sure you're saying to yourself ""I don't care"" well we don't care about you all either.",27,B,Westshore Pizza - New Tampa,Westshore Pizza - New Tampa,westshore pizza - new tampa,1.0
"OUR GO TO INDIAN RESTAURANT 

My husband and I love coming here when we have cravings for Indian food. Not only because it's close to home but their food is delicious! The establishment is very clean and neat; staff is courteous and welcoming. 

It's not really a criticism but observation: they don't have the most choices of foods compared to other Indian restaurants I've been to on the buffet side (due to size of the restaurant) but still a decent amount. Also, because of the restaurant size, seating can feel a bit crowded when there's a good amount of people.",29,C,Haveli Indian Kitchen,Haveli Indian Kitchen,Haveli Indian Kitchen Inc.,5.0
"The layout is good. Nice decorations. Great attention of servers, mine was Joseph. Also Daria was very attentive. Sadly, the food wasn't that great for the price. The pasta was a little bit overcooked plus not enough flavor, it seemed like it was boiled with no salt added at all. Rib-eye had a lack of seasoned and the mustarda didn't help to enhance the flavor since it seems that it wasn't marinated properly.",16,B,Cipresso Seminole Hard Rock  - Tampa,Cipresso Seminole Hard Rock  - Tampa,Cipress0 Semin0le Hard R0ck  - Tampa,3.0
"Very friendly people.  Your typical Chinese TOGO! I've enjoyed their ""House Special Lo Mein"". 4 stars for taste - service  but 3 stars overall because ! FYI it's very HOT inside so I highly recommend just TOGO orders. # 813-908-7988 
Location is OK. I'm very picky about Lo Mein & they are on point here. I only suggest adding chilli for some spicy kick.",37,C,China Gate Restaurant,China Gate Restaurant,China Gate Restaurant,3.0
"Pros:
Location(Poolside & bay view)
Dog friendly 

Cons:
Basic/average 

Went to grab a decent lunch and wasn't thrilled with the food menu. Drink menu was fairly large but I did not try any. Nothing was calling my name on the menu so decided to get some nachos because who doesn't like nachos? They were cool and nothing to talk about. Atmosphere was great in my opinion. A laid back easy going spot for vacationers but I would say it's not worth a second trip until food/menu is changed or you're just looking to hang and watch a sunset there maybe ?",11,A,Big Bamboo Bayside,Big Bamboo Bayside,Big Bamboo Bayside Inc.,3.0
Did the buffet. Very delicious flavors and a great value. Enjoyed all the dishes and desserts. Not too spicy but very flavorful.  Friendly service. There's a cute traditional room you can dine in or cafe style seating. Looking forward to returning. Love having a yummy Aghan food option,22,B,Curry In Hurry,Curry In Hurry,Curry In Hurry Inc.,4.0
"My lovely husband and I decided to do a date night at Tampa Theatre.  We decided to head downtown early for some pre-movie drinks.  Without a plan of where to go, we stumbled into The Anchor Bar.  I really liked it!

We sat at the bar and the bartender that was serving us was so friendly and chatty.  My husband, who is a beer guy, was impressed with the fact that Anchor Bar had all of his favorites on tap (Jai Alai, Fat Tire, etc).  I had a beer and then saw that it was 25% off wine on Wednesday so I switched to wine.  For a glass of Nobilo that is usually $7, the 25% off was quite nice! 

This is a smaller establishment, so I would not recommend coming in with a large group but it is a great spot to catch a game and hang with friends.  There was a good mix of regulars and newbies the night we were there.

Tip:  The bartender makes a signature shot called the Flaming Pumpkin.  Fireball Whiskey and pumpkin beer.  I didn't get a chance to try it, but it is definitely intriguing!",23,B,The Anchor Bar,The Anchor Bar,The Anch0r Bar,4.0
"I LOVE this restaurant, it was my first time going to this establishment and I am happy my sister recommended it. I love this beautiful peaceful yet modern Japanese cafe. First Akemi and the other gentleman (I did not get his name) were truly welcoming to me. I felt comfortable and cared for here. I was her for just 10 minutes but that 10 minutes was not a wasted 10 minutes. It was a rainy day and after I received my food and drink I was about to leave than. Outside started to rain and I waited outside at the door ready to run to my car! But Akemi came to me with her umbrella and helped me to my car with was across the street. Not imagine downtown Tampa parked across the street with traffic and now raining lol SMH!! But I was shocked I will recommend this establishment to anyone that wants Japanese food!! The only CON I would have to mention is the parking. There is a pay by plate across the street in a parking yard but they charge $11.00 for the 0-6 hours parking time. You cannot get a time only for 30 minutes or less. But I did find a parking spot on the street corner for $2.50 per hour which was much more reasonable. So as I sit her writing this review and eating my Tuna Mayo Onigiri and drinking my Cold green tea I am truly happy with my service here and I will be back!!! ありがとうございました",14,B,Junmai Station,Junmai Station,Junmai Station Inc.,5.0
"I really like this place, it also helps that I know the people running it, but the food is really good.  We order food from here about every two to three weeks and I always ask for the spiciest thing on the menu and they do deliver with that.  The only down side is that the crunchy things for the soup are sometimes stale and that's a negative, but the food overall is very good and makes up for it.

The egg rolls are really good and you can never go wrong by ordering a few of those to dip into your hot & sour soup...yummm!!!",34,C,Grand China,Grand China,Grand China,4.0
"I haven't been in this world of beers in quite some time. With all the local breweries opening in the area world of beers has become a second thought. That being said they're definitely an awesome concept and over the years I've spent plenty of cash there. 

After dinner friends wanted to go and have a couple pints and I happily agreed. I have to say I haven't been to this location in a long time but it definitely was a relaxed atmosphere and very drama free. At times WOB can be a little crazy with a younger crowd full of piss and vinegar. But on the night we went which happened to be a Saturday it was very mellow, awesome crowd, great music and a real inviting staff.

Thanks for a great experience and having an awesome selection of beers on tap as always. You've restored my faith in the world of beers and will return again!

Cheers!!!!",34,C,World Of Beer,World Of Beer,World Of B33r,4.0
"I would rate this restaurant 4.5 to be more specific. What made my family's first dining experience at The Spaniard worth every penny was our server Jordan D. From the moment I opened to door, he was exuding such charisma that we were excited to dine. Not only was he hosting, he was also serving and bussing the tables...it was a one man show that night but he did is gracefully and kept a smile on his face! 

Oh! The food?! Oh yeah, the star dishes were the tostones and the mussels; busting with flavor and extremely large portions! Get it, you won't regret it! The soy glazed hen was sold out so we opted for the duck. I prefer my duck to have a crispy skin and tender on the inside, there's was a bit chewy for me. Overall, I really enjoyed the creativity from the chef! 

I really enjoyed the experience. My only gripe is that the restaurant is located in the lobby of a hotel, near a pool area so plan on seeing people in bathing suits walking back and forth, which could be distracting and took away from the overall ambiance of the restaurant.",39,C,The Spaniard,The Spaniard,Th3 Spaniard,4.0
"Tasteless food and dried pasta. Eggplant Parm was a huge disappointment. It was mostly noodles with very little sauce or cheese and I had to look for the eggplant. I ordered a Caesar Salad and it looked and tasted like the grocery store variety, not worth $6.99.  The lasagna was better but would not order again. And, on that note- ordered delivery at 5:30 and asked for a delivery time of 7. It arrived at 7:30 with no explanation of tardiness. NOT ACCEPTABLE as we are less than 10 minutes away! Buyer beware, I would not order again.",36,C,Eataly Pizza & Grill,Eataly Pizza & Grill,Eataly Pizza & Grill,1.0
"Stopped in for lunch and a beer or two. Robin is my waitress and is great, she recommended China's Burger and a Bouldershake Chocolate Porter Nitro, awesome. Robin is the best",10,A,World of Beer,World of Beer,World of Beer Inc.,5.0
We love PDQ and all of the house made sauces.  The employees are always really nice as well.  We definitely recommend for anyone looking for a quality fast food chicken option!,37,C,PDQ Temple Terrace,PDQ Temple Terrace,PDQ Temple Terrace Inc.,5.0
Great food and very good service.  Enjoyed the meat on the grille.  Sangria was amazing.  We were just visiting from out of state  and will go back.,15,B,Renzo's,Renzo's,renzo's,5.0
"Its one of the few decent eating options on Davis Island so we stop by every time we are there. The ambiance, location, wait staff are all great. The food I would rate 7/10. They have all the Mediterranean options / plenty of veggie options but the taste does not blow you away. Some of it is actually quite bland. Regardless its a great dinner, Sunday brunch place to get together with friends and family. Outdoor seating is great. They have music playing some times. Parking is off the street but usually not too hard to find. Good for kids too.",31,C,Fountain Bistro,Fountain Bistro,Fountain Bistro Inc.,4.0
"Adorable coffee shop that serves Illy coffee - the best, most smooth roast, with limited availability in Tampa for some reason. I was elated to see the familiar red logo behind the counter. 

I ordered an iced Americano that was the best coffee I've had, since I last flew out of TPA where there's an actual Illy shop. 

This cute coffee shop also offers paninis and pastries that all looked appealing, nicely displayed in the case. I opted for the chocolate cake that was a perfect accompaniment to my unsweetened coffee. 

Will definitely be stopping in again for another Illy and dessert!",24,B,Espresso Yourself Coffee Shop,Espresso Yourself Coffee Shop,Espresso Yourself Coffee Shop,5.0
"Ordered delivery from here.  Very tasty pasta, sauce, garlic bread and sausage.  
All ingredients are fresh.  The bolognese sauce was exceptional, with savory flavors and just the right amount of salt.    
I was delighted and surprised by the high quality and delicious flavors.  
Don't let the name fool you!",12,A,Chef Tony Macaroni,Chef Tony Macaroni,Ch3f Tony Macaroni,5.0
Love these bagels! I've been coming here for close to 20 yrs and they really have some of the best bagels in the bay area!,13,A,Sunshine Bagel Company,Sunshine Bagel Company,Sunshin3 Bag3l Company,5.0
"For what it is I like it. I appreciate the toasting of the sandwich. I like the tuna salad more than subways, but less than Publix. They have way less topping options than  most sandwich places but Since this is the only one I have been to I don't know if that is because the airport location or the chain in general. 

I put Dijon mustard, lettuce (ask for more), tomatoes, and Italian seasoning on my tuna. Only half of the smash which gets toppings so I are the side without them first and saved the topping side  for last. I like that they cut the sandwich in half so it is easier to eat. 

My hubby definitely ordered better than I did as the salad looks really good and it has lots of meat on it for him to enjoy. 

Now I know to get the half an half next time.",12,A,Potbelly Sandwich Shop,Potbelly Sandwich Shop,PotbellySandwichShop,3.0
"Food and service and food hit or miss. We eaten there before COVID and had decent food but really lousy service. A few times it was better. Went today, food was better but will not go back until their servers are wearing masks. One server takes order, nice but no mask; then the person ( not same as woman who took our order) coming straight from kitchen with our food and delivering it to table no mask! So obviously the kitchen is not compliant.

Will not be back anytime soon. Get your act together Salt Shack! Too many other great places to dine at that we feel safer at. It's just a matter of time until one of their employees test positive.
By the way your COVID update on Yelp only s says take- out. Update needed.",1,A,Salt Shack on the Bay,Salt Shack on the Bay,Salt Shack 0n the Bay,2.0
Awesome upgrades to what was a very traditional sports bar.  Love the signature Kolsch and the Top Golf lounges are a blast.     Will definitely be coming back with friends,6,A,Garrison Tavern,Garrison Tavern,G@rrison T@vern,5.0
Searching for Cuban food while in Tampa found this restaurant that was close to the airport..... The restaurant had really good reviews so we decided to swing by.  We were hoping for the Lechon however it hadn't completed roasting yet so we had the Rabo and Bacalao.. The food was really greasy... and nothing really out of the below ordinary.. The ladies running the place were sweet though...,38,C,Las Margaritas Restaurant,Las Margaritas Restaurant,las margaritas restaurant,3.0
"Always loved Einstein Bagels! But this review has nothing to do with the establishment itself. It has everything to do with a specific staff member. I woke up today not feeling so great mentally. However walking into this place and seeing Phil today changed that. It's crazy how a simple smile can improve your entire day. Phil did that for me today. It was busy and he was occupied but he dropped what he was doing to make sure the customers were taken care of properly. I was greated quickly and with a contagious smile. He was helpful and personable. Honestly he is one of the kindest people I have spoken to all week. In that brief 2 minutes he turned my frown upside down. You never know what people are going through and just by being kind and positive you can make someone's day. If this review gets back to you, I just want to say thank you Phil and keep up those good vibes. They radiate!",35,C,Einstein Bros. Bagels,Einstein Bros. Bagels,Einstein Bros. Bagels Inc.,5.0
Love this place! Great food and great atmosphere. I order the cheeseburger POX with an impossible patty and extra cheese. It's the best impossible burger I've ever had. Even my dad said he would never have questioned it. The cheese fries are also out of this world!,2,A,Goody Goody Burgers,Goody Goody Burgers,Goody Goody Burgers Inc.,5.0
"Ordered through Drive thru. Order was wrong , no napkins or utensils.   Piece of chicken on sandwich was tiny.  
The place used to be good",27,B,PDQ Carrollwood,PDQ Carrollwood,Carrollwood,1.0
"i took my babysitting kids out for dinner and when we arrived we got seated and our waiter was very rude. Benjamin, the waiter, was very annoyed when the kids asked for anything, like a new drink our oil for the bread. very disappointed.",22,B,California Pizza Kitchen at International Plaza,California Pizza Kitchen at International Plaza,California Pizza Kitch3n at Int3rnational Plaza,1.0
"Was very busy for a Monday morning. First time there and it was awesome. With two servers on the floor and slammed pack restaurant, I don't know how they kept up so well. Great service, good coffee and food was perfect! Will be back !",32,C,Pach's Place,Pach's Place,Pach's Plac3,5.0
